case_number,primary_type,description,location_description,arrest,year
JJ446946,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE - PORCH / HALLWAY,False,2025
JJ448648,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,False,2025
JJ446939,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,SIDEWALK,True,2025
JJ446925,ASSAULT,SIMPLE,APARTMENT,False,2025
JJ446944,ASSAULT,SIMPLE,RESTAURANT,False,2025
JJ446920,ASSAULT,AGGRAVATED - HANDGUN,STREET,False,2025
JJ446967,THEFT,RETAIL THEFT,GROCERY FOOD STORE,True,2025
JJ455202,OFFENSE INVOLVING CHILDREN,AGGRAVATED CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,RESIDENCE,False,2025
JJ447618,THEFT,OVER $500,STREET,False,2025
JJ447779,DECEPTIVE PRACTICE,THEFT OF LOST / MISLAID PROPERTY,SIDEWALK,False,2025
JJ447929,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,SIDEWALK,False,2025
JJ449729,THEFT,OVER $500,STREET,False,2025
JJ448258,THEFT,OVER $500,SMALL RETAIL STORE,False,2025
JJ446959,ASSAULT,SIMPLE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,2025
JJ446963,ROBBERY,ARMED - KNIFE / CUTTING INSTRUMENT,STREET,False,2025
JJ446942,ASSAULT,"PROTECTED EMPLOYEE - HANDS, FISTS, FEET, NO / MINOR INJURY",SCHOOL - PUBLIC BUILDING,False,2025
JJ446884,HOMICIDE,FIRST DEGREE MURDER,STREET,False,2025
JJ446909,ASSAULT,SIMPLE,SMALL RETAIL STORE,False,2025
JJ446896,THEFT,RETAIL THEFT,GAS STATION,False,2025
JJ446926,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,2025
JJ454899,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,,False,2025
JJ449281,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,2025
JJ446998,NARCOTICS,MANUFACTURE / DELIVER -  HEROIN (WHITE),VACANT LOT / LAND,True,2025
JJ446996,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,2025
JJ447010,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,2025
JJ446899,CRIMINAL TRESPASS,TO LAND,RESTAURANT,True,2025
JJ447579,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,2025
JJ446953,ASSAULT,SIMPLE,RESIDENCE,False,2025
JJ448172,MOTOR VEHICLE THEFT,AUTOMOBILE,APARTMENT,False,2025
JJ447616,THEFT,RETAIL THEFT,SMALL RETAIL STORE,False,2025
JJ446872,OTHER OFFENSE,LICENSE VIOLATION,VACANT LOT / LAND,True,2025
JJ446912,BURGLARY,FORCIBLE ENTRY,RESIDENCE,False,2025
JJ447591,THEFT,FROM BUILDING,APARTMENT,False,2025
JJ446885,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,False,2025
JJ447034,BURGLARY,FORCIBLE ENTRY,APARTMENT,False,2025
JJ446947,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,SMALL RETAIL STORE,False,2025
JJ446905,THEFT,$500 AND UNDER,HOTEL / MOTEL,False,2025
JJ446958,BURGLARY,BURGLARY FROM MOTOR VEHICLE,STREET,False,2025
JJ447062,ASSAULT,SIMPLE,APARTMENT,False,2025
JJ447204,ROBBERY,ARMED - HANDGUN,CHA PARKING LOT / GROUNDS,False,2025
JJ448640,THEFT,RETAIL THEFT,SMALL RETAIL STORE,False,2025
JJ447161,THEFT,RETAIL THEFT,SMALL RETAIL STORE,False,2025
JJ451681,THEFT,RETAIL THEFT,SMALL RETAIL STORE,False,2025
JJ446908,NARCOTICS,MANUFACTURE / DELIVER -  HEROIN (WHITE),RESIDENCE,True,2025
JJ448933,THEFT,RETAIL THEFT,SMALL RETAIL STORE,False,2025
JJ448806,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,False,2025
JJ448050,DECEPTIVE PRACTICE,STATE BENEFITS FRAUD,RESIDENCE,False,2025
JJ451137,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,APARTMENT,False,2025
JJ450654,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,2025
